SOC;Temp (K);C_Rate;"R_Ch(T=278,15 K; 0,25 C)";"R_Ch(T=278,15 K; 0,5 C)";"R_Ch(T=278, 15K; 0,75 C)";"R_Ch(T=278,15 K; 1 C)";"R_Ch(T=278,15 K; 1,25 C)";"R_Ch(T=278,15 K; 1,5 C)";"R_Ch(T=288,15 K; 0,25 C)";"R_Ch(T=288,15 K; 0,5 C)";"R_Ch(T=288,15 K; 0,75 C)";"R_Ch(T=288,15 K; 1 C)";"R_Ch(T=288,15 K; 1,25 C)";"R_Ch(T=288,15 K; 1,5 C)";"R_Ch(T=298,15 K; 0,25 C)";"R_Ch(T=298,15 K; 0,5 C)";"R_Ch(T=298,15 K; 0,75 C)";"R_Ch(T=298,15 K; 1 C)";"R_Ch(T=298,15 K; 1,25 C)";"R_Ch(T=298,15 K; 1,5 C)";"R_Ch(T=308,15 K; 0,25 C)";"R_Ch(T=308,15 K; 0,5 C)";"R_Ch(T=308,15 K; 0,75 C)";"R_Ch(T=308,15 K; 1 C)";"R_Ch(T=308,15 K; 1,25 C)";"R_Ch(T=308,15 K; 1,5 C)";"R_DCh(T=278,15 K; 0,25 C)";"R_DCh(T=278,15 K; 0,5 C)";"R_DCh(T=278, 15K; 0,75 C)";"R_DCh(T=278,15 K; 1 C)";"R_DCh(T=278,15 K; 1,25 C)";"R_DCh(T=278,15 K; 1,5 C)";"R_DCh(T=288,15 K; 0,25 C)";"R_DCh(T=288,15 K; 0,5 C)";"R_DCh(T=288,15 K; 0,75 C)";"R_DCh(T=288,15 K; 1 C)";"R_DCh(T=288,15 K; 1,25 C)";"R_DCh(T=288,15 ; 1,5 C)";"R_DCh(T=298,15 K; 0,25 C)";"R_DCh(T=298,15 K; 0,5 C)";"R_DCh(T=298,15 K; 0,75 C)";"R_DCh(T=298,15 K; 1 C)";"R_DCh(T=298,15 K; 1,25 C)";"R_DCh(T=298,15 K; 1,5 C)";"R_DCh(T=308,15 K; 0,25 C)";"R_DCh(T=308,15 K; 0,5 C)";"R_DCh(T=308,15 K; 0,75 C)";"R_DCh(T=308,15 K; 1 C)";"R_DCh(T=308,15 K; 1,25 C)";"R_DCh(T=308,15 K; 1,5 C)"
0;278,15;0,25;1,831737359;1,797346169;1,755719539;1,717687339;1,674900321;1,628607694;1,133660439;1,119228878;1,106904338;1,095537029;1,083953065;1,068679714;0,85041231;0,83606869;0,828198759;0,826425908;0,814339786;0,809324012;0,689307888;0,68441672;0,670267934;0,665521353;0,655140697;0,654462481;1,87655937;1,931328709;1,954898826;1,986541064;2,004831987;2,014909531;1,142832272;1,161547556;1,181136473;1,199941027;1,213197069;1,223384032;0,840659362;0,85036622;0,856491319;0,866972429;0,873068986;0,878692645;0,670249061;0,67501601;0,679698375;0,684409493;0,681584092;0,684364059
0,05;288,15;0,5;1,831737359;1,797346169;1,755719539;1,717687339;1,674900321;1,628607694;1,133660439;1,119228878;1,106904338;1,095537029;1,083953065;1,068679714;0,85041231;0,83606869;0,828198759;0,826425908;0,814339786;0,809324012;0,689307888;0,68441672;0,670267934;0,665521353;0,655140697;0,654462481;1,87655937;1,931328709;1,954898826;1,986541064;2,004831987;2,014909531;1,142832272;1,161547556;1,181136473;1,199941027;1,213197069;1,223384032;0,840659362;0,85036622;0,856491319;0,866972429;0,873068986;0,878692645;0,670249061;0,67501601;0,679698375;0,684409493;0,681584092;0,684364059
0,1;298,15;0,75;1,665295757;1,676220223;1,654438896;1,628605574;1,603166618;1,56254023;1,048578662;1,04307821;1,041482819;1,031633378;1,027337342;1,019978744;0,784636973;0,784292318;0,777582986;0,776897209;0,772676259;0,771558094;0,623195829;0,632524936;0,632573078;0,632468904;0,630642322;0,627639682;1,696664864;1,722546921;1,728123359;1,728341003;1,722960051;1,710773672;1,057895139;1,062287447;1,064135518;1,07233334;1,074871926;1,076662753;0,793668993;0,788918341;0,790345113;0,793589877;0,795681383;0,798461404;0,632460055;0,637233062;0,635680904;0,644342688;0,640047449;0,641877722
0,15;308,15;1;1,60380915;1,608530258;1,589356545;1,566074639;1,542510861;1,512174005;0,99136891;0,995951983;0,994377431;0,991179931;0,987807181;0,982163767;0,746519271;0,746310699;0,746455313;0,743901591;0,744394915;0,741913096;0,613601384;0,618172045;0,61051441;0,608960189;0,607888938;0,607278733;1,614641369;1,618317429;1,611628057;1,593493634;1,579296709;1,55369625;1,001416264;1,010815213;1,007184132;1,006166493;1,005162855;1,002792469;0,774820105;0,751140437;0,752507831;0,753527654;0,754120308;0,754341198;0,604105227;0,608895089;0,613670849;0,616021605;0,617410333;0,618352656
0,2;;1,25;1,545812218;1,54836961;1,534246535;1,510308159;1,490733383;1,462680472;0,954029248;0,958149096;0,956329157;0,94873823;0,952154916;0,944528039;0,717580428;0,717937955;0,717960523;0,717923556;0,716192358;0,713291814;0,594791684;0,585226939;0,588542527;0,587662137;0,585275387;0,586827474;1,557946206;1,544383738;1,528631294;1,508835571;1,486906788;1,45779422;0,963742006;0,963274861;0,960228602;0,958702074;0,957947129;0,952515954;0,718447591;0,718261161;0,724277844;0,720397646;0,725661879;0,7228698;0,584886053;0,585169603;0,591615759;0,590016475;0,590942748;0,588422786
0,25;;1,5;1,495405611;1,50141025;1,483558934;1,46685614;1,450049428;1,421780762;0,925938034;0,928743519;0,931794595;0,925079685;0,921546563;0,91623643;0,699168841;0,699262355;0,698880136;0,696654349;0,695386706;0,691269664;0,575646787;0,571243134;0,569657027;0,568841007;0,570125528;0,569523272;1,48194481;1,485164553;1,465732562;1,442054006;1,422269582;1,392642736;0,905672916;0,929715958;0,922772672;0,927407848;0,922141115;0,917985583;0,699428773;0,699192463;0,699087965;0,69916707;0,695405749;0,697594051;0,575744026;0,571305887;0,569574013;0,57116994;0,574010096;0,571086587
0,3;;;1,499498748;1,500111313;1,481135682;1,470247832;1,447849522;1,420720174;0,92618602;0,925089546;0,919599554;0,921156184;0,919965539;0,917372492;0,709120178;0,694562056;0,695932568;0,694210189;0,689621936;0,688106987;0,575617622;0,566257773;0,566433576;0,571170945;0,568310021;0,564879027;1,473698185;1,46745425;1,447030426;1,42355008;1,395634675;1,364587207;0,907064324;0,920319574;0,916037215;0,91549482;0,910798699;0,906643257;0,698985824;0,694562056;0,69276931;0,692218702;0,689707246;0,686582987;0,55710244;0,557005956;0,563307344;0,566448693;0,566429166;0,566432426
0,35;;;1,527904796;1,528244984;1,512978031;1,489477673;1,465134951;1,434982287;0,934556766;0,939405043;0,931542352;0,932659091;0,933239566;0,926924623;0,709020298;0,704019527;0,702423459;0,69908839;0,697319717;0,6977752;0,585340656;0,580592698;0,579057904;0,575872171;0,573985054;0,572649153;1,490646671;1,479428889;1,454340565;1,418981248;1,39181164;1,353614943;0,926145332;0,925309599;0,922435002;0,91860602;0,910829361;0,901862621;0,708670939;0,694681381;0,69622368;0,694478944;0,691526269;0,689781829;0,566329516;0,570938978;0,569583236;0,571137772;0,568322696;0,567980086
0,4;;;1,572437187;1,57143983;1,55082991;1,521942616;1,49007363;1,455570906;0,963580857;0,958584051;0,953626085;0,953688852;0,954343971;0,948956075;0,718170438;0,722742101;0,714790446;0,70857929;0,710526355;0,708796595;0,595204029;0,594754836;0,588501238;0,585337477;0,585221776;0,598945358;1,518857463;1,495253605;1,463143998;1,428364161;1,393959326;1,356694493;0,945106939;0,945038273;0,938101944;0,92822662;0,922230493;0,909963604;0,7088326;0,703959208;0,705466667;0,699190802;0,699261567;0,694521075;0,575928872;0,580580927;0,579026378;0,575887514;0,573941173;0,571091713
0,45;;;1,604702362;1,623118273;1,589123352;1,549944333;1,515079556;1,475934038;0,992047138;0,982095453;0,982486744;0,982367579;0,978703565;0,971373951;0,736994951;0,732304129;0,730809606;0,727488461;0,725380953;0,724218474;0,604140948;0,599360342;0,604266516;0,597780863;0,60066522;0,5943421;1,557150084;1,523517088;1,488758622;1,445088835;1,405356835;1,366315448;0,953618573;0,958593745;0,95349383;0,944537632;0,93159057;0,922379965;0,718109775;0,722909238;0,718082144;0,713459632;0,70854742;0,705528998;0,59484194;0,585186407;0,58836651;0,592154652;0,586564566;0,583568293
