SOC;Temp (K);C_Rate;"R_Ch(T=278,15 K; 0,25 C)";"R_Ch(T=278,15 K; 0,5 C)";"R_Ch(T=278, 15K; 0,75 C)";"R_Ch(T=278,15 K; 1 C)";"R_Ch(T=278,15 K; 1,25 C)";"R_Ch(T=278,15 K; 1,5 C)";"R_Ch(T=288,15 K; 0,25 C)";"R_Ch(T=288,15 K; 0,5 C)";"R_Ch(T=288,15 K; 0,75 C)";"R_Ch(T=288,15 K; 1 C)";"R_Ch(T=288,15 K; 1,25 C)";"R_Ch(T=288,15 K; 1,5 C)";"R_Ch(T=298,15 K; 0,25 C)";"R_Ch(T=298,15 K; 0,5 C)";"R_Ch(T=298,15 K; 0,75 C)";"R_Ch(T=298,15 K; 1 C)";"R_Ch(T=298,15 K; 1,25 C)";"R_Ch(T=298,15 K; 1,5 C)";"R_Ch(T=308,15 K; 0,25 C)";"R_Ch(T=308,15 K; 0,5 C)";"R_Ch(T=308,15 K; 0,75 C)";"R_Ch(T=308,15 K; 1 C)";"R_Ch(T=308,15 K; 1,25 C)";"R_Ch(T=308,15 K; 1,5 C)";"R_DCh(T=278,15 K; 0,25 C)";"R_DCh(T=278,15 K; 0,5 C)";"R_DCh(T=278, 15K; 0,75 C)";"R_DCh(T=278,15 K; 1 C)";"R_DCh(T=278,15 K; 1,25 C)";"R_DCh(T=278,15 K; 1,5 C)";"R_DCh(T=288,15 K; 0,25 C)";"R_DCh(T=288,15 K; 0,5 C)";"R_DCh(T=288,15 K; 0,75 C)";"R_DCh(T=288,15 K; 1 C)";"R_DCh(T=288,15 K; 1,25 C)";"R_DCh(T=288,15 ; 1,5 C)";"R_DCh(T=298,15 K; 0,25 C)";"R_DCh(T=298,15 K; 0,5 C)";"R_DCh(T=298,15 K; 0,75 C)";"R_DCh(T=298,15 K; 1 C)";"R_DCh(T=298,15 K; 1,25 C)";"R_DCh(T=298,15 K; 1,5 C)";"R_DCh(T=308,15 K; 0,25 C)";"R_DCh(T=308,15 K; 0,5 C)";"R_DCh(T=308,15 K; 0,75 C)";"R_DCh(T=308,15 K; 1 C)";"R_DCh(T=308,15 K; 1,25 C)";"R_DCh(T=308,15 K; 1,5 C)"
0,5;;;1,652713949;1,661490912;1,621066279;1,574889327;1,529752354;1,489066554;1,004773656;1,01517536;1,016751464;1,015035251;0,999698421;0,988816797;0,736983538;0,751236249;0,752485361;0,751188499;0,748426614;0,744760263;0,623099305;0,62302336;0,623929195;0,619745273;0,616581079;0,612914416;1,594556077;1,561760784;1,515530836;1,468851486;1,426226369;1,38044107;0,982070582;0,981669264;0,975980521;0,961324077;0,944829349;0,930572456;0,737057207;0,746520772;0,737023113;0,732326639;0,727623077;0,721285555;0,614047481;0,608864228;0,611078949;0,605771561;0,600915246;0,596360762
0,55;;;1,699823129;1,676339133;1,62340443;1,574582611;1,537221934;1,49528635;1,067487425;1,067133841;1,060942677;1,043674081;1,029779927;1,013951538;0,79355393;0,80328685;0,799970956;0,79118047;0,784261912;0,777872472;0,659345907;0,656082172;0,651479439;0,652842854;0,646326431;0,642047587;1,643630655;1,610098193;1,577588926;1,522669228;1,474804003;1,42772811;1,019985212;1,018721113;1,020460293;1,008743669;0,989916642;0,981136138;0,784263831;0,770189926;0,771540087;0,767760898;0,76363083;0,759022445;0,651563285;0,64669199;0,645146656;0,641726292;0,640833802;0,636464802
0,6;;;1,475259065;1,472744177;1,469277726;1,44939625;1,42866909;1,403604065;0,944878623;0,93947178;0,937823828;0,934831391;0,929510402;0,925683999;0,70897636;0,708736792;0,705316131;0,706186792;0,704774396;0,70217386;0,575627343;0,575986295;0,579042684;0,580987864;0,57861185;0,578839344;1,484634047;1,468503372;1,453941149;1,433242333;1,407234936;1,375896248;0,954084031;0,948889222;0,944647493;0,937491274;0,93344427;0,928968686;0,708421608;0,718304508;0,711943175;0,711164095;0,703013052;0,707149797;0,575384405;0,580447552;0,582421846;0,578276411;0,578955755;0,575761242
0,65;;;1,436807576;1,463857547;1,450424781;1,437430851;1,4221469;1,400641745;0,916614334;0,930273981;0,925286071;0,920403255;0,918107169;0,916168619;0,702114183;0,694463162;0,695910366;0,6966902;0,701050028;0,697596554;0,575680817;0,571157957;0,572189113;0,579713028;0,577099877;0,576746947;1,435150762;1,433730466;1,416409466;1,387603796;1,361727676;1,33343149;0,897672604;0,90952233;0,913100323;0,911754604;0,901152098;0,899116763;0,6805943;0,694496682;0,692980256;0,692026047;0,69351408;0,691334021;0,556660303;0,571051823;0,568968623;0,572709012;0,57164733;0,573368523
0,7;;;1,428390002;1,448993411;1,44077923;1,432854161;1,418360561;1,398308355;0,916741338;0,916192401;0,919177469;0,916245756;0,920148261;0,916344495;0,698962215;0,703868326;0,696054706;0,69926777;0,697334729;0,697582051;0,566736403;0,575620538;0,578763435;0,578436515;0,577956962;0,57615885;1,426128276;1,419772759;1,41111739;1,378014061;1,348631376;1,320676846;0,916784713;0,911517863;0,906722378;0,904897911;0,901419486;0,895860339;0,689522602;0,694443052;0,69289896;0,68984625;0,687883314;0,689777417;0,566152583;0,583793868;0,569684704;0,568823549;0,566928018;0,570363404
0,75;;;1,439075786;1,439475487;1,43533271;1,425131642;1,412782364;1,393211984;0,9171714;0,91115497;0,91585028;0,916673495;0,918079261;0,910989787;0,689604123;0,689719781;0,696090637;0,696983759;0,697284917;0,694475151;0,576220974;0,575864649;0,57724176;0,578268941;0,578024547;0,578824712;1,413760092;1,410895305;1,393353325;1,374283718;1,343203169;1,311286459;0,906503079;0,907017591;0,906894241;0,902451055;0,899185076;0,894345712;0,689930397;0,694495321;0,692883028;0,69460626;0,689819895;0,688220081;0,566291251;0,582634017;0,56954566;0,571602406;0,574310829;0,572525409
0,8;;;1,433011602;1,454047007;1,4351714;1,42579224;1,414524104;1,395571844;0,916721975;0,915923011;0,915957159;0,918698819;0,916083017;0,914770352;0,69951546;0,699158718;0,6992722;0,699096074;0,699266132;0,699362532;0,576089491;0,575328073;0,572762766;0,580810969;0,576924837;0,580118473;1,404892572;1,402236198;1,384731139;1,362913544;1,337626404;1,309694918;0,907130984;0,911624605;0,907039495;0,902368696;0,897679883;0,892560838;0,699259402;0,685052432;0,696025964;0,692209747;0,689769552;0,691403273;0,594625902;0,580635864;0,57274014;0,577297258;0,574932722;0,5788684
0,85;;;1,445094665;1,429490125;1,435390153;1,42626599;1,414452002;1,39400749;0,916543103;0,915734918;0,919388433;0,918674704;0,918246538;0,919357035;0,70863303;0,699473838;0,702486902;0,699061693;0,699245619;0,700697414;0,575549581;0,58053025;0,579075299;0,581843663;0,583243048;0,58021731;1,406295234;1,383465761;1,384793793;1,362505171;1,33847165;1,308206432;0,907072752;0,906617619;0,906916083;0,899954604;0,897420537;0,892911626;0,68956336;0,694508415;0,692988386;0,692210199;0,691687487;0,69130782;0,584737966;0,574703604;0,580316492;0,576125468;0,576860738;0,577768233
0,9;;;1,435899229;1,439354032;1,435349241;1,430730968;1,415287454;1,398686496;0,907621662;0,916499891;0,919671243;0,920974062;0,920205584;0,917857269;0,708652982;0,699318194;0,702345934;0,70385816;0,703003172;0,700695396;0,594851992;0,580679036;0,582297956;0,5835809;0,584536138;0,586477648;1,398456823;1,403146731;1,381889829;1,363309708;1,334653884;1,309753026;0,897666538;0,902235764;0,903843742;0,899925942;0,900136051;0,889862784;0,699422863;0,699278529;0,696134413;0,694543764;0,693616861;0,693024689;0,57619175;0,575795901;0,57905197;0,581803369;0,579267888;0,579079048
0,95;;;1,452047759;1,458593118;1,457615319;1,442595862;1,42778479;1,405059393;0,925918483;0,925425405;0,922626508;0,923350789;0,924069536;0,922486676;0,718166393;0,70386323;0,702910511;0,703836975;0,702877718;0,703862423;0,58553853;0,580622619;0,581905613;0,585363793;0,587340649;0,582594149;1,434400128;1,415695135;1,393825034;1,371959275;1,343303914;1,312739707;0,916431633;0,906420861;0,906858919;0,907000482;0,901416541;0,896017075;0,69955487;0,699326634;0,696094557;0,699267335;0,695551135;0,692976728;0,57580725;0,580005204;0,580328124;0,579843983;0,583670723;0,581176787
1;;;1,452047759;1,458593118;1,457615319;1,442595862;1,42778479;1,405059393;0,925918483;0,925425405;0,922626508;0,923350789;0,924069536;0,922486676;0,718166393;0,70386323;0,702910511;0,703836975;0,702877718;0,703862423;0,58553853;0,580622619;0,581905613;0,585363793;0,587340649;0,582594149;1,434400128;1,415695135;1,393825034;1,371959275;1,343303914;1,312739707;0,916431633;0,906420861;0,906858919;0,907000482;0,901416541;0,896017075;0,69955487;0,699326634;0,696094557;0,699267335;0,695551135;0,692976728;0,57580725;0,580005204;0,580328124;0,579843983;0,583670723;0,581176787
