Q fade,k_ref,Ea,C_cal,D_cal,A_cyc,B_cyc,C_cyc,D_cyc
Naumann,1.2571E-05,17126,2.8575,0.60225,0.0630,0.0971,4.0253,1.0923
Refit,1.07E-05,26700.62673,2.390519546,0.588474572,0.003257477,0.001580048,0.334047436,0.344282001
Bootstrap 1,9.94E-06,36155.47006,2.649097238,0.545396138,0.004435823,0.000131382,0.222126996,0.375543739
Bootstrap 2,1.10E-05,24785.38503,2.319184492,0.610385053,0.002666042,0.002229531,0.084992015,0.330998384
Bootstrap 3,1.15E-05,18838.82488,2.786952652,0.623802894,0.002695593,0.002232599,0.109182999,0.33248283
