,-400.0,-380.0,-360.0,-340.0,-320.0,-300.0,-280.0,-260.0,-240.0,-220.0,-200.0,-180.0,-160.0,-140.0,-120.0,-100.0,-80.0,-60.0,-40.0,-20.0,0.0,20.0,40.0,60.0,80.0,100.0,120.0,140.0,160.0,180.0,200.0,220.0,240.0,260.0,280.0,300.0,320.0,340.0,360.0,380.0,400.0
0.0,0.04104,0.04082,0.04059,0.04036,0.04013,0.0399,0.03968,0.03945,0.03922,0.03899,0.03876,0.03854,0.03831,0.03808,0.03785,0.03762,0.0374,0.03717,0.03694,0.03671,0.03648,0.03626,0.03603,0.0358,0.03557,0.03535,0.03512,0.03489,0.03466,0.03443,0.03421,0.03398,0.03375,0.03352,0.03329,0.03307,0.03284,0.03261,0.03238,0.03215,0.03193
0.1,0.04509,0.04486,0.04463,0.0444,0.04417,0.04395,0.04372,0.04349,0.04326,0.04303,0.04281,0.04258,0.04235,0.04212,0.04189,0.04167,0.04144,0.04121,0.04098,0.04076,0.04053,0.0403,0.04007,0.03984,0.03962,0.03939,0.03916,0.03893,0.0387,0.03848,0.03825,0.03802,0.03779,0.03756,0.03734,0.03711,0.03688,0.03665,0.03642,0.0362,0.03597
0.2,0.04795,0.04771,0.04748,0.04724,0.04701,0.04678,0.04654,0.04631,0.04607,0.04584,0.0456,0.04537,0.04513,0.0449,0.04466,0.04443,0.04419,0.04396,0.04372,0.04349,0.04325,0.04302,0.04278,0.04255,0.04231,0.04208,0.04184,0.04161,0.04137,0.04114,0.0409,0.04067,0.04043,0.0402,0.03996,0.03973,0.03949,0.03926,0.03903,0.03879,0.03856
0.3,0.05186,0.05161,0.05136,0.05111,0.05086,0.05061,0.05036,0.05012,0.04987,0.04962,0.04937,0.04912,0.04887,0.04862,0.04838,0.04813,0.04788,0.04763,0.04738,0.04713,0.04688,0.04664,0.04639,0.04614,0.04589,0.04564,0.04539,0.04514,0.0449,0.04465,0.0444,0.04415,0.0439,0.04365,0.0434,0.04315,0.04291,0.04266,0.04241,0.04216,0.04191
0.4,0.05569,0.05543,0.05517,0.05491,0.05464,0.05438,0.05412,0.05386,0.05359,0.05333,0.05307,0.05281,0.05255,0.05228,0.05202,0.05176,0.0515,0.05123,0.05097,0.05071,0.05045,0.05018,0.04992,0.04966,0.0494,0.04913,0.04887,0.04861,0.04835,0.04809,0.04782,0.04756,0.0473,0.04704,0.04677,0.04651,0.04625,0.04599,0.04572,0.04546,0.0452
0.5,0.05955,0.05928,0.059,0.05872,0.05845,0.05817,0.0579,0.05762,0.05734,0.05707,0.05679,0.05652,0.05624,0.05596,0.05569,0.05541,0.05513,0.05486,0.05458,0.05431,0.05403,0.05375,0.05348,0.0532,0.05293,0.05265,0.05237,0.0521,0.05182,0.05155,0.05127,0.05099,0.05072,0.05044,0.05017,0.04989,0.04961,0.04934,0.04906,0.04878,0.04851
0.6,0.06316,0.06287,0.06258,0.06229,0.062,0.06172,0.06143,0.06114,0.06085,0.06056,0.06027,0.05999,0.0597,0.05941,0.05912,0.05883,0.05854,0.05826,0.05797,0.05768,0.05739,0.0571,0.05682,0.05653,0.05624,0.05595,0.05566,0.05537,0.05509,0.0548,0.05451,0.05422,0.05393,0.05364,0.05336,0.05307,0.05278,0.05249,0.0522,0.05191,0.05163
0.7,0.06692,0.06662,0.06632,0.06602,0.06571,0.06541,0.06511,0.06481,0.06451,0.06421,0.06391,0.06361,0.06331,0.06301,0.06271,0.06241,0.06211,0.06181,0.06151,0.06121,0.06091,0.06061,0.06031,0.06001,0.05971,0.0594,0.0591,0.0588,0.0585,0.0582,0.0579,0.0576,0.0573,0.057,0.0567,0.0564,0.0561,0.0558,0.0555,0.0552,0.0549
0.8,0.07097,0.07066,0.07035,0.07004,0.06972,0.06941,0.0691,0.06879,0.06847,0.06816,0.06785,0.06754,0.06722,0.06691,0.0666,0.06629,0.06597,0.06566,0.06535,0.06503,0.06472,0.06441,0.0641,0.06378,0.06347,0.06316,0.06285,0.06253,0.06222,0.06191,0.0616,0.06128,0.06097,0.06066,0.06034,0.06003,0.05972,0.05941,0.05909,0.05878,0.05847
0.9,0.07434,0.07402,0.07371,0.07339,0.07307,0.07275,0.07243,0.07211,0.07179,0.07147,0.07116,0.07084,0.07052,0.0702,0.06988,0.06956,0.06924,0.06892,0.06861,0.06829,0.06797,0.06765,0.06733,0.06701,0.06669,0.06637,0.06606,0.06574,0.06542,0.0651,0.06478,0.06446,0.06414,0.06382,0.06351,0.06319,0.06287,0.06255,0.06223,0.06191,0.06159
1.0,0.07993,0.07961,0.07929,0.07897,0.07866,0.07834,0.07802,0.0777,0.07738,0.07706,0.07674,0.07642,0.07611,0.07579,0.07547,0.07515,0.07483,0.07451,0.07419,0.07387,0.07356,0.07324,0.07292,0.0726,0.07228,0.07196,0.07164,0.07132,0.07101,0.07069,0.07037,0.07005,0.06973,0.06941,0.06909,0.06877,0.06846,0.06814,0.06782,0.0675,0.06718
